Id,Name,Link,DefaultPrice,PriceWithCard,ProductRating,CountOfComments,CountOfQuestions,Article,Type,PartNumber,Color,Country,Transport,TypeOfControl,Scale,ActionRadius,Peculiarities
10,Стойка крепления передних амортизаторов для багги 1/8 Remo Hobby A4012,https://www.ozon.ru/product/stoyka-krepleniya-perednih-amortizatorov-dlya-baggi-1-8-remo-hobby-a4012-285207180/?asb=%252FM2xGykVjXACrmcIHkwoFddE9tesTA0pWp%252FESmWBDXw%253D&asb2=iLeMFRFmYBVM32xAwy6hI_tKmZjAZHBRm7IbSQw2D9Z51eAFg6uK4AAupuUiQS0NPlEXBi8O86xIpeQq3YaIIQ&avtc=1&avte=4&avts=1734856529&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,764 ₽,713 ₽,,,,285207180,Запчасть для радиоуправляемых моделей,,,,,,,,
11,"Амортизаторы алюминиевые (4 шт+ масло) для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/amortizatory-alyuminievye-4-sht-maslo-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-1673739968/?asb=DuffJAY0ZRpJzxqgD8P7pFMz8OBmkKYkmdGrErpSt8s%253D&asb2=yMOfDftMCs3YP9-cu7hthfuvlKC1Axca4sIsPQjjcHjWDt5IaZgr8Cuvz24Mevhf-31hm_j6wEZnh69dWE78Ng&avtc=1&avte=4&avts=1734856499&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 563 ₽,1 471 ₽,4.8,159,29,1673739968,Запчасть для радиоуправляемых моделей,A6955-4-Blue,"Синий, ",Россия,,,,,
12,"Амортизаторы алюминиевые усиленные красные для Remo Hobby 1/16, Smax, S-Evor, Rocket, Dingo, P6955",https://www.ozon.ru/product/amortizatory-alyuminievye-usilennye-krasnye-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-p6955-844162413/?asb=vyDxYtAYBcyqtBFzJ0JbReL4LHuiduR%252Bn1K8STp%252F6sQ%253D&asb2=MFl0NikSosnUBVThmfh9LZN-rzAfKCVVpi1m8jTTSN-pvvVxhNt4Ux_AaLe7WadP_rBl2ZKJU6vCkjIchcud4A&avtc=1&avte=4&avts=1734856505&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 257 ₽,1 171 ₽,4.8,41,11,844162413,Запчасть для радиоуправляемых моделей,,Красный,Россия,,,,,
13,"Амортизаторы передние алюминиевые синие для Remo Hobby 1/10 (Mmax, EX3)",https://www.ozon.ru/product/amortizatory-perednie-alyuminievye-sinie-dlya-remo-hobby-1-10-mmax-ex3-880529969/?asb=5LL2L%252BBJUCI0nAXaTS7n20%252FnCmsTGc1ADNBrZIO0hBc%253D&asb2=O7_k5bLFOoXsIc2bq_WGEoXPNBPce_stdDpQ8z2SV13XnEe3qouJ6pXnl_qSLp8SXIeKX9qXV2nw1sv1dYskng&avtc=1&avte=4&avts=1734856507&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,852 ₽,802 ₽,4.5,37,2,880529969,Запчасть для радиоуправляемых моделей,M1951-Blue,Синий,,,,,,
14,"Алюминиевый комплект тюнинга LUXURY-V2 синий для Remo Hobby 1/16, Smax, S-Evor, Rocket, Dingo",https://www.ozon.ru/product/alyuminievyy-komplekt-tyuninga-luxury-v2-siniy-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-774376558/?asb=y2%252BIciXplm9Bv0nHXAJU3%252Fkxr33Iy6dpOqrqVd0jqEM%253D&asb2=qtu9m8DtmdIExTaXpIhtDeJ10uZAywpKs0irqP351kkk_QlXeg_beLKzaWLVSH8x-nGQhaunIA1U06DNDm09wA&avtc=1&avte=4&avts=1734856529&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,6 765 ₽,6 396 ₽,4.8,486,26,774376558,Запчасть для радиоуправляемых моделей,A1631-LUX-Blue-V2,"Синий, ",,,,,,
15,A3963 Алюминиевые задние амортизаторы для моделей Remo Hobby 1/8,https://www.ozon.ru/product/a3963-alyuminievye-zadnie-amortizatory-dlya-modeley-remo-hobby-1-8-1394679625/?asb=ltcFEApXp%252F5dtIZnvn5NLrmiENpOz5aIfkyKTAda2H4%253D&asb2=HVB0L4r4lipsHzwf_A6vaA6HXGwtn3TiWCpJR4dtye8gb146LrEGjpme5GHvcm-uWLUOXOoP-AmWRtHy5w79iA&avtc=1&avte=4&avts=1734856519&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 474 ₽,1 373 ₽,,,,1394679625,Игрушка радиоуправляемая,,,,,,,,
16,"Нержавеющее стальное усиление деки V2 для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/nerzhaveyushchee-stalnoe-usilenie-deki-v2-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-880531040/?asb=3%252B1flrI%252F9Y%252BB3OHaDMeBmfJIO%252FvHW5vMSqRY0SEWw5A%253D&asb2=GC5lDfc1fjWCWvUVRFdL4u3stnzqCw8uZvHSoO0-dG-BTP9Qti2IhvRyOJgHd40Ib05bKUr1nYDYacXHI8dtnQ&avtc=1&avte=4&avts=1734856505&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,579 ₽,545 ₽,4.9,287,28,880531040,Запчасть для радиоуправляемых моделей,S2562,"Фиолетовый, ",Россия,,,,,
17,"Амортизаторы задние алюминиевые черные для Remo Hobby 1/10 (Mmax, EX3)",https://www.ozon.ru/product/amortizatory-zadnie-alyuminievye-chernye-dlya-remo-hobby-1-10-mmax-ex3-747170332/?asb=tuYlSLN1gkcAHRgF%252F1u5wV7qpmdWcJdzUK7tWcdI67g%253D&asb2=UW3BWjI7U4Y4t1WHhMSDEIiM_GU8YpaaIqE-OFAk0r7AyUtu5j_uAtL5jznsCX-v4ihUB3sTrN9cVAN2CtdFdw&avtc=1&avte=4&avts=1734856529&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,868 ₽,820 ₽,2.7,11,6,747170332,Запчасть для радиоуправляемых моделей,M1952-Black,Черный,,,,,,
18,"Амортизаторы алюминиевые (4 шт+ масло) для Remo Hobby 1/16 (Smax, S-Evor, Rocket, Dingo)",https://www.ozon.ru/product/amortizatory-alyuminievye-4-sht-maslo-dlya-remo-hobby-1-16-smax-s-evor-rocket-dingo-1673735883/?asb=uOPwgop1qE4OlRUbsvNEMUXW9LivZC0aRsQvxe8kEVU%253D&asb2=S96fMC1ARX24367pF1-JJ7ufAPrCJVpcV2KFZy_y-0zoAB4oCVTeobd-3-RzUmt2HSr-CpbN58yxjC09jnLHVg&avtc=1&avte=4&avts=1734856499&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 592 ₽,1 505 ₽,4.8,204,23,1673735883,Запчасть для радиоуправляемых моделей,A6955-4-Blue,"Синий, ",Россия,,,,,
19,"Амортизаторы передней оси задние для Монстра 1/8, 2шт., алюминий",https://www.ozon.ru/product/amortizatory-peredney-osi-zadnie-dlya-monstra-1-8-2sht-alyuminiy-583304656/?asb=08771Mh%252BJHbJQ0m0CZMW9hW6O63rE1wnoQOSPnsOucY%253D&asb2=ncb9Pj8HrzLruVjxHlufF3GXIjQ3PdChFZ12JDoQyY884JafmwZ_F8zbH2Km5IyKmV7doYcO9NxWvIyclZxqgw&avtc=1&avte=4&avts=1734856540&keywords=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%B0%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B5+%D0%B4%D0%BB%D1%8F+Remo+Hobby,1 408 ₽,1 312 ₽,,,,583304656,Запчасть для радиоуправляемых моделей,,,,,,,,
